#Core: ddr2_phy - Instance: ddr_2fifo_top_inst|ddr_ctrl_inst|ddr_m0|ddr2_controller_phy_inst|ddr2_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",2.597,1.141
"DQS vs CK (Slow 1200mV 85C Model)",1.068,1.084
"Mimic (Slow 1200mV 85C Model)",0.533,
"Phy (Slow 1200mV 85C Model)",-1.329,0.454
"Phy Reset (Slow 1200mV 85C Model)",2.205,1.162
"Read Capture (Slow 1200mV 85C Model)",0.047,0.062
"Write (Slow 1200mV 85C Model)",0.043,0.347
 
"Address Command (Slow 1200mV 0C Model)",2.752,1.066
"DQS vs CK (Slow 1200mV 0C Model)",1.087,1.098
"Mimic (Slow 1200mV 0C Model)",0.505,
"Phy (Slow 1200mV 0C Model)",-0.850,0.403
"Phy Reset (Slow 1200mV 0C Model)",2.448,1.075
"Read Capture (Slow 1200mV 0C Model)",0.004,0.019
"Write (Slow 1200mV 0C Model)",0.063,0.366
 
"Address Command (Fast 1200mV 0C Model)",3.169,0.959
"DQS vs CK (Fast 1200mV 0C Model)",1.254,1.209
"Mimic (Fast 1200mV 0C Model)",1.512,
"Phy (Fast 1200mV 0C Model)",1.512,0.176
"Phy Reset (Fast 1200mV 0C Model)",3.672,0.492
"Read Capture (Fast 1200mV 0C Model)",0.306,0.311
"Write (Fast 1200mV 0C Model)",0.207,0.514
